strehl,fwhm,airmass,az,mass,dimm,wind_speed,wind_direction,temperature,relative_humidity,pressure
0.328,60.58,1.51706,182.35119,0.15,0.49,10.0,72.0,4.12,13.0,619.7
0.287,65.08,1.51731,182.59488000000002,0.15,0.49,10.0,70.0,4.13,13.0,619.7
0.319,62.1,1.5176,182.84045,0.13,0.39,10.0,72.0,4.15,13.0,619.7
0.308,62.11,1.51795,183.11903999999998,0.13,0.39,10.0,64.0,4.16,14.0,619.7
0.35100000000000003,58.03,1.51829,183.35979,0.13,0.38,10.0,66.0,4.16,14.0,619.7
0.338,59.33,1.51875,183.67096999999998,0.13,0.38,11.0,70.0,4.16,14.0,619.7
0.39,55.16,1.51914,183.91122,0.21,0.45,11.0,67.0,4.14,13.0,619.7
0.409,54.3,1.51956,184.15325,0.21,0.45,11.0,70.0,4.1,13.0,619.7
0.369,57.44,1.52001,184.3979,0.52,0.53,11.0,70.0,4.1,13.0,619.7
0.388,55.57,1.52049,184.64279,0.52,0.45,10.0,69.0,4.07,13.0,619.6
0.334,59.32,1.52099,184.88521,0.52,0.45,10.0,71.0,4.04,13.0,619.6
0.151,91.95,1.70566,153.49764,0.19,0.71,11.0,57.0,4.04,6.0,618.6
0.24,73.55,1.70213,153.6926,0.19,0.71,12.0,57.0,4.01,6.0,618.6
0.25,71.11,1.69862,153.89016999999998,0.19,0.71,12.0,54.0,3.98,6.0,618.6
0.207,79.72,1.69515,154.08831,0.19,0.71,10.0,65.0,3.96,6.0,618.6
0.266,69.26,1.6917,154.28841,0.19,0.71,8.0,68.0,3.96,6.0,618.6
0.274,68.75,1.68832,154.48737,0.19,0.71,10.0,58.0,3.95,6.0,618.6
0.279,65.38,1.68497,154.68785,0.19,0.71,10.0,58.0,3.95,6.0,618.6
0.276,67.65,1.68167,154.88823,0.19,0.71,11.0,65.0,3.94,6.0,618.6
0.267,68.13,1.6775,155.14571,0.19,0.71,10.0,77.0,3.92,6.0,618.6
